"zcta","medincome","total_pop1","median_rent","total_hholds1","over16total_industry1","total_commute1","drove_commute","pubtrans_bus_commute","taxi_commute","bicycle_commute","walked_commute","workhome_commute","unemployed","hisplat_raceethnic","nonhispLat_white_raceethnic","nonhispLat_black_raceethnic","nonhispLat_amerindian_raceethnic","nonhispLat_asian_raceethnic","age65_plus","not_insured","snap_hholds","fpl_150","not_quarantined_jobs","Positive","Total","modzcta_cum_perc_pos","total_res_volume_zcta","essentialworker_drove","essentialworker_pubtrans","grocers","pop_density","avg_hhold_size","pos_per_100000","testing_ratio","res_vol_zctadensity","res_vol_popdensity","pubtrans_ferrysubway_commute","grocers_per_1000","valid_var","didnot_workhome_commute","one_over_grocers_per_1000","one_over_medincome","Borough","Neighborhood"
"11385",72261,106717,1477,35126,55079,54314,30.26,8.25,0.21,0.91,7.06,2.24,4.94,44.27,46.13,1.6,0.03,6.65,1586,12.3,8.27,20.17,23.62,2152,7901,27.2,462555330.589188,8.47,11.08,16,0.00104987034149961,3.04,2017,0.0740369388194946,4.55056947710426,0.000230711858544722,49.95,0.149929252134149,"0",0.446428571428571,6.6698125,1.38387235161429e-05,NA,NA
"11411",93882,20759,1531,6270,10587,10328,58.6,20.18,0.04,0.28,0.8,1.83,6.94,6.59,1,90.51,0.09,0.28,543,6.74,9.06,7.77,32.79,681,2117,32.2,120749163.336184,18.38,9.92,1,0.000619345958256496,3.31,3281,0.101979864155306,3.60255822896668,0.000171918375469018,15.9,0.0481718772580568,"0",0.546448087431694,20.759,1.06516691165506e-05,NA,NA
"11412",78517,37458,1441,11039,19017,18592,52.32,17.74,0.59,0.33,2.22,2.36,8.82,5.1,0.76,88.27,0.71,2.31,926,7.48,14.97,13.83,32.54,1233,3897,31.6,221365983.045858,16.53,11.38,3,0.000816229584999124,3.39,3292,0.104036520903412,4.82368157601697,0.000169212990562512,21.73,0.0800897004645203,"0",0.423728813559322,12.486,1.27360953678821e-05,NA,NA
"11413",86324,42443,1664,12356,20836,19886,56.13,14.8,0.76,0.12,2.32,2.07,7.24,4.9,1.49,90.02,0.16,1.13,1160,5.82,11.85,12.66,31.94,1312,4092,32.1,241363364.87687,18.62,9.02,2,0.000485414208268255,3.44,3091,0.0964116579883609,2.76043650700158,0.000175846902124736,16.02,0.0471220224772047,"0",0.483091787439614,21.2215,1.15842639358695e-05,NA,NA
"11414",71648,29219,1576,10680,13174,12835,68.2,8.52,0.53,0,2.52,0.65,6.17,22.29,67.85,1.77,0,5.05,1277,3.72,10.07,17.75,27.12,797,2536,31.4,201449699.344161,17.98,5.45,3,0.000456707321991244,2.74,2728,0.0867928402751634,3.14875775021093,0.000145043651567241,18.64,0.102672918306581,"0",1.53846153846154,9.73966666666666,1.39571237159446e-05,NA,NA
"11415",68294,19372,1540,8379,10344,9840,32.2,6.63,1.23,1.26,5.02,5.03,4.03,24.95,46.51,4.99,0.34,18.95,685,5.97,7.32,17.72,24.22,534,2004,26.6,105416534.311826,8,9.13,2,0.00114302963746256,2.31,2757,0.103448275862069,6.22001977064869,0.000183766238630999,42.54,0.103241792277514,"0",0.198807157057654,9.686,1.46425747503441e-05,NA,NA
"11416",67461,27125,1489,7217,12683,12189,34.07,9.68,1.15,0.49,5.55,3.36,7.89,45.14,12.71,4.77,0,33.1,488,9.08,19.07,26.26,26.8,708,2275,31.1,97863005.815695,9.87,11,5,0.00146262464257933,3.76,2610,0.0838709677419355,5.27693433743485,0.000277173174622128,44.08,0.184331797235023,"0",0.297619047619048,5.425,1.48233794340434e-05,NA,NA
"11417",73424,31927,1514,9060,15023,14598,43.67,8.23,0.39,0.39,4.62,2.31,7.89,38.53,19.56,5.78,0,28.6,668,7.99,14.93,23.6,27.5,882,3066,28.8,137972644.79833,11.97,9.7,3,0.00103023642420598,3.52,2763,0.096031572023679,4.45217039544189,0.000231400942169854,38.4,0.0939643561875528,"0",0.432900432900433,10.6423333333333,1.36195249509697e-05,NA,NA
"11418",66570,38517,1461,10938,18451,17759,36.96,8.88,0.38,0.6,6.27,3.64,5.7,45.7,16.39,6.39,0.35,23.93,696,14.04,15.66,26.12,26.47,1085,3544,30.6,182285350.730573,9.99,10.98,3,0.000843437118923878,3.52,2817,0.0920113196770257,3.99164605348867,0.000211300578162916,41.18,0.0778876859568502,"0",0.274725274725275,12.839,1.50217815832958e-05,NA,NA
"11419",70882,49618,1554,12479,24072,23759,41.57,15.59,0.39,0.22,5.34,1.16,10.07,18.86,4.3,15.74,0.78,32.23,926,11.29,17.71,23.54,29.84,1192,3914,30.5,198753795.600662,11.89,13.13,8,0.0015747803581615,3.98,2402,0.0788826635495183,6.30806508569405,0.000249645546894073,33.35,0.161231811036317,"0",0.862068965517241,6.20225,1.41079540645016e-05,NA,NA
"11420",67932,48489,1553,13159,23670,23306,51.82,12.38,0.76,0.13,2.18,2.37,8.29,24.05,4.88,23.03,0.84,30.96,787,8.66,15.81,19.94,28.85,1345,4326,31.1,221871235.812848,14.49,9.06,4,0.000826118884315419,3.68,2774,0.0892161108705067,3.78007419809428,0.000218545679535049,27.37,0.0824929365423086,"0",0.421940928270042,12.12225,1.47206029558971e-05,NA,NA
"11421",72066,41002,1612,11638,20033,19415,33.31,8.2,0.11,0.28,3.71,2.87,7.41,58.64,16.82,2.95,0.17,19.35,848,11.64,15.19,21.05,25.47,1187,3860,30.8,187518783.85513,8.71,12.34,5,0.00114954832524271,3.52,2895,0.0941417491829667,5.25735095683658,0.000218655428309927,49.74,0.121945270962392,"0",0.348432055749129,8.2004,1.38761690672439e-05,NA,NA
"11422",89235,32082,1722,9653,16701,16368,62.13,13.59,0.83,0,1.88,1.34,5.74,9.57,3.28,82.51,0.34,1.99,674,6.38,13.96,11.84,33.45,969,3200,30.3,175475718.376109,19.64,9.57,1,0.000568084045982377,3.32,3020,0.0997444049622841,3.10719269580339,0.000182828714405012,13.64,0.0311701265507138,"0",0.746268656716418,32.082,1.12063652154424e-05,NA,NA
"11423",70266,31400,1411,9787,16149,15886,46.93,15.54,0.47,0.03,2.88,3.39,8.65,14.19,8.94,38.48,0.64,28.5,912,8.8,14.35,18.26,29.77,1073,3354,32,184098593.847222,14.79,11.2,2,0.000796165787275502,3.21,3417,0.106815286624204,4.66792999702822,0.000170560781284717,27.76,0.0636942675159236,"0",0.294985250737463,15.7,1.42316340762246e-05,NA,NA
"11426",88803,20801,1729,6356,10485,10289,68.56,7.98,0.48,0,1.78,2.62,4.59,18.93,28.05,6.14,0.05,44.13,543,5.86,6.75,12.42,29.58,499,1711,29.2,116869733.311072,19.02,5.89,2,0.000552383633234908,3.27,2399,0.0822556607855392,3.10354924770754,0.000177984491028435,13.74,0.0961492235950195,"0",0.381679389312977,10.4005,1.12608808260982e-05,NA,NA
"11427",74581,24037,1399,7500,11220,11018,54.66,16.88,0.23,0.19,1.95,2.8,5.49,19.45,19.81,19.71,0.5,31.12,731,6.79,8.67,15.85,28.46,778,2604,29.9,142017618.93639,16.56,8.27,1,0.000546307746469635,3.2,3237,0.108332986645588,3.22774578192465,0.000169253647399666,20.8,0.0416025294337896,"0",0.357142857142857,24.037,1.34082407047371e-05,NA,NA
"11428",73699,18929,1487,5558,9222,9015,55.98,17.04,0.54,0.24,2.11,1.93,6.09,25.33,11.07,20.25,0.15,25.38,502,6.53,9.68,18.66,28.54,674,2004,33.6,109264264.147213,15.53,9.34,2,0.000817390074227615,3.41,3561,0.105869301072429,4.71823788798753,0.000173240538869111,18.82,0.105657985102224,"0",0.518134715025907,9.4645,1.35687051384686e-05,NA,NA
"11429",83240,27403,1401,7340,13772,13564,53.83,18.5,0.16,0.59,1.81,2.21,15.42,12.43,1.58,73.99,0.71,4.09,779,6.26,14.36,18.58,32.66,941,3041,30.9,143005405.96738,16.72,11.84,1,0.000627165027320478,3.73,3434,0.110973251103894,3.27292593294559,0.000191622126552689,18.67,0.0364923548516586,"0",0.452488687782805,27.403,1.2013455069678e-05,NA,NA
"11432",55906,62053,1453,18547,28606,27983,33.48,11.33,0.55,0.34,8.72,3.22,7.94,24.43,12.94,14.72,0.41,41.29,1420,9.83,15.33,25.65,26.92,1804,6078,29.7,309679304.037591,9.9,12.15,10,0.00103603207113094,3.35,2907,0.0979485278713358,5.17038162133102,0.000200378259673651,39.9,0.161152563131517,"0",0.31055900621118,6.2053,1.78871677458591e-05,NA,NA
"11433",51521,36489,1282,10519,15739,15260,42.85,19.99,0.39,0.09,4.88,1.15,16.04,18.89,1.64,62.01,0.02,8.76,756,11.19,27.52,28.09,30.64,943,3157,29.9,154936907.767384,13.16,13.45,3,0.000825257320429435,3.47,2584,0.0865192249719093,3.50414693030047,0.000235508766283003,28.4,0.0822165584148647,"0",0.869565217391304,12.163,1.94095611498224e-05,NA,NA
"11434",62207,65791,1141,21462,30780,29406,46.88,18.57,1.43,0.05,2.93,2.12,7.25,7.53,1.56,84.92,0,2.45,1448,6.1,15.3,18.38,32.28,2078,6901,30.1,327108762.663477,14.33,12.97,8,0.000228402548251841,3.07,3158,0.104892766487817,1.1356032732113,0.000201128821693121,25.08,0.121597178945448,"0",0.471698113207547,8.223875,1.60753612937451e-05,NA,NA
"11435",64086,59296,1466,18874,29557,29110,32.26,12.73,0.52,0.27,5.21,2.25,11.94,31.08,11.36,22.41,0.09,24.27,1256,12.11,14.74,26.41,26.17,1615,5688,28.4,253604448.664767,9.53,13.1,4,0.00140250848823139,3.14,2724,0.0959255261737723,5.99842134217446,0.000233812933141334,43.74,0.0674581759309228,"0",0.444444444444444,14.824,1.560403208189e-05,NA,NA
"11436",75242,20077,1591,5581,9986,9644,48.89,17.59,1.8,0.3,3.21,1.73,10.09,14.79,1.53,59.73,0.43,10.38,317,8.78,17.18,20.31,29.19,519,1764,29.4,95150185.2546865,13.44,10.87,1,0.00091592596205108,3.6,2585,0.0878617323305275,4.34081411409758,0.000211003267584402,24.05,0.0498082382826119,"0",0.578034682080925,20.077,1.32904494830015e-05,NA,NA
"11691",46147,67094,1200,20594,25755,25091,48.07,16.23,0.89,0.29,6.85,2.89,10.42,26.36,23.96,44.27,0,3.46,1049,7.73,35.79,31.21,31.18,2328,8028,29,331726060.074568,13.15,10.86,5,0.000875910663013381,3.26,3470,0.11965302411542,4.33067626343237,0.000202257247998298,21.25,0.0745223119802069,"0",0.346020761245675,13.4188,2.16698810323531e-05,NA,NA
"11692",44024,20991,1010,6815,7847,7728,44.59,12.27,0.89,1.01,2.78,1.24,14.87,24.4,9.97,56.98,0.19,5.71,290,6.34,32.46,31.69,26.53,604,2246,26.9,121795084.072337,11.46,10.83,1,0.000754396513337099,3.08,2877,0.106998237339812,4.37719912180315,0.000172346857509725,34.86,0.0476394645324187,"0",0.806451612903226,20.991,2.27148827912048e-05,NA,NA
"11693",59431,12919,1037,4845,6308,6209,53.36,14.66,0,0.24,1.29,2.45,5.49,29.49,46.95,16.06,0,4.03,168,4.79,23.18,22.1,26.09,326,1137,28.7,65968438.7554778,14.32,9.04,1,0.000471556103751661,2.67,2523,0.0880099078876074,2.40791237325746,0.000195836073184728,27.04,0.0774053719328121,"0",0.408163265306122,12.919,1.68262354663391e-05,NA,NA
"11694",80976,21354,1321,8468,9447,9288,64.79,6.72,0.12,0.58,5.79,3.47,5.73,14.91,73,6.01,0.67,3.47,675,3.73,10.63,14.09,28.19,700,2513,27.9,181608411.188046,17.76,6.1,2,0.000573650533727772,2.52,3278,0.117682869719959,4.87870010337525,0.000117582659637329,16.91,0.0936592675845275,"0",0.288184438040346,10.677,1.23493380754792e-05,NA,NA
"11697",103580,3540,NA,1365,1510,1485,78.65,0,0,1.01,3.1,4.98,5.03,6.47,91.61,0.59,0,0.56,116,0.59,1.39,4.58,25.35,108,1144,9.4,73435983.3995135,18.68,3.77,1,4.90503410578224e-05,2.59,3051,0.32316384180791,1.0175310823906,4.82052508337956e-05,9.96,0.282485875706215,"0",0.200803212851406,3.54,9.65437343116432e-06,NA,NA
