ID,NTA Name,Borough,Total households,Households living alone,Households older then 65y,Tot population,Males,Females,Under 18y,Over 65y ,Hispanic/Latino,White,Black or AfroAmerican,Asian,Population over 16y,Workers 16y and over,Commuting to work by driving,Commuting to work by car pooling,Commuting to work by public transport,Going to work by walk,Working at home,Mean travel time to work,Civilians employed over 16y,Private wage or salary workers,Government workers,Self employers,Unpaid person family workers,Households income less 10000$,Mean households income ,Annual income per capita ,Median earning for workers ,Civilians noninstitutionals with health insurance (private and public),Not covered by health insurance,People which poverty state is determined,geometry
95,Jamaica Estates,Queens,9241,2983,936,26757,12363,14394,5386,4693,3539,6333,6668,8732,21980,12311,5521,649,5381,344,331,43.8,12536,9618,2181,720,17,327,93424,33955,42272,24227,2106,25919,POINT (1043232.952560022 200499.4796282649)
96,Kensington,Brooklyn,12171,3195,1117,37676,18658,19018,10438,4009,6056,18756,2682,8416,28137,16190,3141,586,10029,1064,702,41.6,16535,12961,2016,1505,53,1058,70115,23290,31273,33594,4029,37547,POINT (989683.5439110249 173314.0540123582)
97,Kew Gardens,Queens,10015,3808,1296,23719,11513,12206,4988,3275,5829,10983,1546,4520,19303,11934,3255,383,6595,668,577,42.7,12365,9735,1744,846,40,706,82749,36005,44507,21740,1979,23677,POINT (1031434.216971189 196238.0501590222)
98,Kew Gardens Hills,Queens,13199,3433,1453,38404,18401,20003,8949,5284,5053,20078,2720,9133,30235,16933,6706,1361,7005,1263,400,40.7,17579,13843,2617,1119,0,627,81683,29021,38699,35588,2622,37209,POINT (1033900.338351279 202582.0404237658)
99,Kingsbridge Heights,The Bronx,10882,3270,1121,31294,14904,16390,7626,3370,23479,1299,4835,1068,24395,13853,1780,625,9527,1070,661,44.4,14160,11925,1385,828,22,1539,44583,16775,20647,26245,4487,30543,POINT (1011486.086263865 256400.4337710142)
100,Laurelton,Queens,8134,1639,744,26924,12599,14325,5568,4429,1790,311,23802,228,22081,12979,6333,779,5256,203,287,50.7,13567,9804,3336,419,8,235,96095,31434,38701,24664,2245,26748,POINT (1056306.598984852 182711.3423043489)
101,Lenox Hill-Roosevelt Island,Manhattan,43924,22932,6511,82051,36408,45643,11976,13644,7412,59069,3197,9810,71047,49193,3784,864,24481,13394,2751,30.2,50015,42891,3883,3159,82,2216,170988,93429,80929,76441,3754,79906,POINT (995645.7645981014 219123.5962513536)
102,Lincoln Square,Manhattan,32655,17584,4879,59691,27383,32308,8199,10747,6010,42982,2053,7131,51778,34173,1552,535,20714,6259,2717,28.7,35041,29571,2177,3235,58,1861,203752,113175,99086,57601,2036,58313,POINT (988311.0712622702 221094.5736086071)
103,Lindenwood,Queens,10477,2627,1372,28247,13364,14883,5526,5972,6225,19667,466,1170,23412,12769,7559,887,3885,282,128,41.6,13152,9931,2568,653,0,646,92838,35737,46247,26409,1821,28146,POINT (1025965.092738852 181195.5779474378)
104,Longwood,The Bronx,9040,2549,802,28961,14241,14720,8617,2521,21561,330,6348,408,21290,9714,1134,318,6920,776,362,43.2,9934,8374,962,546,52,2178,36239,12564,22515,24556,4257,28510,POINT (1013096.039080694 236256.8405281007)
105,Lower East Side,Manhattan,32016,14030,4384,72789,32967,39822,11226,13063,28805,15996,8007,17591,63080,29581,1857,612,16916,7284,866,34.1,30090,24379,3706,1874,131,5397,61325,28960,34772,66932,5477,72415,POINT (989547.3325692713 200793.4524655193)
106,Madison,Brooklyn,14846,3930,1774,40122,19655,20467,8365,6984,3471,26247,547,8893,32743,17364,4809,927,9325,1341,662,44.5,17800,14345,2463,970,22,1246,77976,29234,37874,36970,3130,40052,POINT (998572.9309878647 161293.3359278589)
107,Manhattanville,Manhattan,8241,2690,1036,23666,10763,12903,4308,2610,13381,2357,6435,944,20103,10439,677,18,8224,861,552,41,10713,8550,1688,475,0,1752,44966,18034,23516,20306,3319,23618,POINT (996045.4872238636 236911.247355774)
108,Marble Hill,Manhattan,19057,6676,2170,52681,25206,27475,11190,6189,38689,8367,3956,866,43004,23898,2950,777,16051,2214,1359,42.3,24882,20523,2906,1428,25,2202,57340,22751,25774,46050,6581,52408,POINT (1008956.756020695 258641.4673466831)
